sampleId	country	city	lat	long	Continental_clusters
AT_Mau_14_01	Austria	Mauternbach	48.375	15.56	3.Europe_E
AT_Mau_14_02	Austria	Mauternbach	48.375	15.56	3.Europe_E
AT_Mau_15_50	Austria	Mauternbach	48.375	15.56	3.Europe_E
AT_Mau_15_51	Austria	Mauternbach	48.375	15.56	3.Europe_E
AT_See_14_44	Austria	Seeboden	46.8136889	13.50794792	1.Europe_W
AT_See_16_1	Austria	Seeboden	46.8136889	13.50794792	1.Europe_W
BY_Bre_15_13	Belarus	Brest	52.142193	23.662434	3.Europe_E
CH_Cha_14_42	Switzerland	Chalet à Gobet	46.5670416	6.701867	1.Europe_W
CH_Cha_14_43	Switzerland	Chalet à Gobet	46.5670416	6.701867	1.Europe_W
CH_Cha_15_39	Switzerland	Chalet à Gobet	46.5670416	6.701867	1.Europe_W
CH_Cha_16_38	Switzerland	Chalet à Gobet	46.5670416	6.701867	1.Europe_W
CY_Nic_14_11	Cyprus	Nicosia	35.066461	33.322646	1.Europe_W
DE_Bro_14_14	Germany	Broggingen	48.218024	7.819513	1.Europe_W
DE_Bro_14_15	Germany	Broggingen	48.218024	7.819513	1.Europe_W
DE_Bro_15_53	Germany	Broggingen	48.218	7.82	1.Europe_W
DE_Bro_15_54	Germany	Broggingen	48.218	7.82	1.Europe_W
DE_Bro_16_10	Germany	Broggingen	48.218024	7.819513	1.Europe_W
DE_Bro_16_11	Germany	Broggingen	48.218024	7.819513	1.Europe_W
DE_Mun_14_31	Germany	Munich	48.18	11.61	1.Europe_W
DE_Mun_14_32	Germany	Munich	48.18	11.61	1.Europe_W
DE_Mun_15_45	Germany	Munich	48.18	11.61	1.Europe_W
DE_Mun_15_46	Germany	Munich	48.18	11.61	1.Europe_W
DE_Mun_16_12	Germany	Munich	48.18	11.61	1.Europe_W
DE_Mun_16_13	Germany	Munich	48.18	11.61	1.Europe_W
DK_Kar_14_39	Denmark	Karensminde	55.945128	10.212586	1.Europe_W
DK_Kar_14_41	Denmark	Karensminde	55.945128	10.212586	1.Europe_W
DK_Kar_16_2	Denmark	Karensminde Orchard	55.945128	10.212586	1.Europe_W
DK_Kar_16_3	Denmark	Karensminde Orchard	55.945128	10.212586	1.Europe_W
DK_Kar_16_4	Denmark	Karensminde Orchard	55.945128	10.212586	1.Europe_W
ES_Ben_16_32	Spain	Benalua	37.353733	-3.167179	1.Europe_W
ES_Cor_15_33	Spain	Cortes de Baza	37.661547	-2.79631	1.Europe_W
ES_Gim_14_34	Spain	Gimenells	41.6175899	0.6200146	1.Europe_W
ES_Gim_14_35	Spain	Gimenells	41.6175899	0.6200146	1.Europe_W
ES_Gim_15_30	Spain	Gimenells	41.656416	0.388472	1.Europe_W
ES_Gim_15_31	Spain	Gimenells	41.656416	0.388472	1.Europe_W
ES_Gim_16_33	Spain	Gimenells	41.656416	0.388472	1.Europe_W
ES_Gim_16_34	Spain	Gimenells	41.656416	0.388472	1.Europe_W
ES_Gua_15_32	Spain	Guadix	37.3308	-3.173416	1.Europe_W
ES_Pur_16_35	Spain	Purullena. El Bejarín (Guadix)	37.3377875	-3.1786148	1.Europe_W
ES_Tom_15_28	Spain	Tomelloso	39.15805	-3.021	1.Europe_W
ES_Tom_15_29	Spain	Tomelloso	39.15805	-3.021	1.Europe_W
ES_Tom_16_36	Spain	Tomelloso	39.152529	-3.0616048	1.Europe_W
ES_Tom_16_37	Spain	Tomelloso	39.152529	-3.0616048	1.Europe_W
FI_Aka_14_36	Finland	Akaa	61.1	23.52	1.Europe_W
FI_Aka_14_37	Finland	Akaa	61.1	23.52	1.Europe_W
FI_Aka_15_34	Finland	Akaa	61.1	23.52	1.Europe_W
FI_Aka_15_35	Finland	Akaa	61.1	23.52	1.Europe_W
FI_Aka_16_5	Finland	Akaa	61.1	23.52	1.Europe_W
FI_Aka_16_6	Finland	Akaa	61.1	23.52	1.Europe_W
FI_Ves_14_38	Finland	Vesanto	62.55	26.24	1.Europe_W
FI_Ves_16_7	Finland	Vesanto	62.55	26.24	1.Europe_W
FR_Got_14_08	France	Gotheron	44.976813	4.930005	1.Europe_W
FR_Got_15_47	France	Gotheron	44.977	4.93	1.Europe_W
FR_Got_15_48	France	Gotheron	44.977	4.93	1.Europe_W
FR_Got_15_49	France	Gotheron	44.977	4.93	1.Europe_W
FR_Got_16_8	France	Gotheron	44.976813	4.930005	1.Europe_W
FR_Vil_14_05	France	Viltain	48.7543324	2.1584108	1.Europe_W
FR_Vil_14_07	France	Viltain	48.7543324	2.1584108	1.Europe_W
FR_Vil_15_40	France	Viltain	48.754	2.158	1.Europe_W
FR_Vil_15_41	France	Viltain	48.754	2.158	1.Europe_W
FR_Vil_16_9	France	Viltain	48.7543324	2.1584108	1.Europe_W
GS_Des_15_1	Guadeloupe	Deshaies	16.32	-61.78	2.North_America
GS_Sai_15_2	Guadeloupe	Saint Francois	16.25	-61.28	2.North_America
HU_Sze_16_14	Hungary	Szeged	46.25	20.13	3.Europe_E
IT_Mez_15_43	Italy	Mezzocorona	46.212856	11.08755	1.Europe_W
IT_Mez_15_44	Italy	Mezzolombardo	46.217939	11.123423	1.Europe_W
IT_Tre_16_15	Italy	Trentino (San Michele a/A)	46.2	11.13333	1.Europe_W
PO_Brz_15_12	Poland	Brzezina	54.27342	19.620169	3.Europe_E
PO_Brz_16_17	Poland	Brzezina	54.27342	19.620169	3.Europe_E
PO_Gda_16_16	Poland	Gdansk	54.35	18.64	3.Europe_E
PT_Rec_14_33	Portugal	Recarei	41.15	-8.41	1.Europe_W
PT_Rec_15_16	Portugal	Recarei	41.15	-8.41	1.Europe_W
PT_Rec_16_18	Portugal	Recarei	41.15	-8.41	1.Europe_W
RS_Kal_16_28	Serbia	Kalna	43.4	22.42	3.Europe_E
RS_Kal_16_29	Serbia	Kalna	43.4	22.42	3.Europe_E
RS_Sla_16_30	Serbia	Slankamen. Vinogradi	45.15	20.18	3.Europe_E
RS_Sla_16_31	Serbia	Slankamen. Vinogradi	45.15	20.18	3.Europe_E
RU_Ale_15_55	Russia	Alexandrov	56.41472	38.71611	3.Europe_E
RU_Ale_16_22	Russia	Alexandrov	56.41472	38.71611	3.Europe_E
RU_Val_14_51	Russia	Valday	57.9788789	33.243615	3.Europe_E
RU_Val_16_19	Russia	Valday	58.02444	33.235277	3.Europe_E
RU_Val_16_20	Russia	Valday	58.02444	33.235277	3.Europe_E
RU_Val_16_21	Russia	Valday	58.02444	33.235277	3.Europe_E
RU_tul_15_37	Russia	tula	53.99778	38.13167	3.Europe_E
RU_val_15_36	Russia	valday	58.024	33.23528	3.Europe_E
RU_val_15_38	Russia	valday	58.024	33.23528	3.Europe_E
SE_Lun_14_30	Sweden	Lund	55.694	13.198	1.Europe_W
SE_Lun_15_14	Sweden	Lund	55.694	13.198	1.Europe_W
SE_Lun_15_15	Sweden	Lund	55.694	13.198	1.Europe_W
TR_Yes_14_03	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_14_04	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_15_3	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_15_4	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_15_5	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_15_6	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_15_7	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_15_8	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_16_39	Turkey	Yesiloz TR13	40.231444	32.260328	1.Europe_W
TR_Yes_16_40	Turkey	Yesiloz TR14	40.231444	32.260328	1.Europe_W
TR_Yes_16_41	Turkey	Yesiloz TR15	40.231444	32.260328	1.Europe_W
TR_Yes_16_42	Turkey	Yesiloz TR16	40.231444	32.260328	1.Europe_W
TR_Yes_16_43	Turkey	Yesiloz TR17	40.231444	32.260328	1.Europe_W
TR_Yes_16_52	Turkey	Yesiloz TR18	40.231444	32.260328	1.Europe_W
