ID	In(2L)t	In(2R)Ns	In(3L)P	In(3R)C	In(3R)Mo	In(3R)Payne
AT_Mau_14_01	0.1947	0.0508	0.0229	0.0095	0.0343	0.0678
AT_Mau_14_02	0.1764	0.0600	0.0399	0.0130	0.0247	0.0443
AT_See_14_44	0.3176	0.0230	0.0358	0.0210	0.0485	0.0727
CH_Cha_14_42	0.4926	0.1073	0.0559	0.0358	0.0292	0.1603
CH_Cha_14_43	0.3694	0.0732	0.0782	0.0363	0.0335	0.0419
CY_Nic_14_11	0.3244	0.0112	0.1411	0.1194	0.0124	0.1492
DE_Bro_14_14	0.2013	0.0422	0.0145	0.0288	0.0341	0.0816
DE_Bro_14_15	0.0930	0.0514	0.0130	0.0229	0.0216	0.0500
DE_Mun_14_31	0.3669	0.1432	0.0003	0.0233	0.0321	0.0343
DE_Mun_14_32	0.5000	0.1108	0.0364	0.0410	0.0196	0.0215
DK_Kar_14_39	0.0755	0.0691	0.0007	0.0289	0.0109	0.0008
DK_Kar_14_41	0.0566	0.0446	0.0006	0.0258	0.0319	0.0000
ES_Gim_14_34	0.1858	0.0279	0.0999	0.1088	0.0072	0.2234
ES_Gim_14_35	0.3081	0.0116	0.0991	0.1090	0.0199	0.0992
FI_Aka_14_36	0.2412	0.0532	0.0261	0.0147	0.0121	0.0000
FI_Aka_14_37	0.2775	0.0266	0.0097	0.0171	0.0092	0.0108
FI_Ves_14_38	0.3104	0.0148	0.0016	0.0172	0.0221	0.0184
FR_Got_14_08	0.0385	0.0157	0.0255	0.0469	0.0207	0.0089
FR_Vil_14_05	0.1389	0.0483	0.0509	0.0497	0.0352	0.0366
FR_Vil_14_07	0.0713	0.0139	0.0491	0.0175	0.0194	0.0881
PT_Rec_14_33	0.1687	0.0511	0.0465	0.0479	0.0384	0.1314
RU_Val_14_51	0.1879	0.0154	0.0111	0.0250	0.0144	0.0669
SE_Lun_14_30	0.1520	0.0312	0.0143	0.0412	0.0069	0.0219
TR_Yes_14_03	0.1450	0.0611	0.0369	0.0308	0.0129	0.0862
TR_Yes_14_04	0.1455	0.0123	0.0295	0.0342	0.0140	0.1448
UA_Cho_14_28	0.2707	0.0819	0.0398	0.0091	0.0153	0.0234
UA_Cho_14_29	0.2318	0.1056	0.0391	0.0363	0.0366	0.0210
UA_Cho_14_47	0.1628	0.0498	0.1059	0.0330	0.0178	0.0830
UA_Cho_14_48	0.2902	0.0391	0.0241	0.0168	0.0185	0.0501
UA_Dro_14_27	0.1728	0.0988	0.0000	0.0083	0.0228	0.0736
UA_Kha_14_45	0.2040	0.0875	0.1023	0.0167	0.0191	0.0380
UA_Kha_14_46	0.1645	0.0763	0.0525	0.0247	0.0164	0.0204
UA_Kyi_14_23	0.1845	0.1126	0.0346	0.0172	0.0183	0.0653
UA_Kyi_14_24	0.2329	0.0871	0.0451	0.0321	0.0133	0.0737
UA_Kyi_14_49	0.1782	0.1798	0.0492	0.0553	0.0191	0.0301
UA_Ode_14_19	0.1035	0.1038	0.0120	0.0149	0.0239	0.0523
UA_Ode_14_20	0.1896	0.1050	0.0233	0.0393	0.0302	0.0268
UA_Ode_14_21	0.1855	0.0921	0.0790	0.0464	0.0496	0.0530
UA_Ode_14_22	0.3483	0.1372	0.0746	0.0360	0.0236	0.0410
UA_Pyr_14_26	0.1828	0.0803	0.1073	0.0223	0.0281	0.0341
UA_Uma_14_50	0.1378	0.1272	0.0555	0.0075	0.0246	0.0953
UA_Var_14_25	0.2384	0.1035	0.0675	0.0303	0.0241	0.0405
UA_Yal_14_16	0.1614	0.0352	0.0092	0.0089	0.0149	0.0974
UA_Yal_14_18	0.1721	0.0271	0.0267	0.0269	0.0179	0.0628
UK_Lut_14_13	0.0759	0.0193	0.0251	0.0158	0.0324	0.0246
UK_Mar_14_12	0.0178	0.0200	0.0234	0.0156	0.0090	0.0389
UK_She_14_09	0.1515	0.0037	0.0015	0.0067	0.0038	0.0306
UK_Sou_14_10	0.1021	0.0139	0.0047	0.0083	0.0186	0.0028
