Sample	In(2L)t	In(2R)Ns	In(3L)P	In(3R)C	In(3R)K	In(3R)Mo	In(3R)Payne
AT_Mau_14_01	0.19	0.05	0.02	0.01	0	0.03	0.06
AT_Mau_14_02	0.18	0.06	0.04	0.01	0	0.02	0.04
AT_See_14_44	0.32	0.02	0.04	0.02	0.03	0.05	0.08
CH_Cha_14_42	0.47	0.1	0.06	0.03	0.04	0.03	0.14
CH_Cha_14_43	0.37	0.07	0.07	0.03	0.02	0.03	0.04
CY_Nic_14_11	0.32	0.01	0.14	0.11	0	0.01	0.13
DE_Bro_14_14	0.2	0.04	0.01	0.03	0	0.03	0.08
DE_Bro_14_15	0.1	0.05	0.01	0.02	0	0.02	0.04
DE_Mun_14_31	0.36	0.14	0	0.02	0	0.03	0.03
DE_Mun_14_32	0.5	0.11	0.04	0.03	0	0.02	0.02
DK_Kar_14_39	0.07	0.07	0	0.02	0	0.01	0
DK_Kar_14_41	0.05	0.04	0	0.02	0	0.03	0
ES_Gim_14_34	0.17	0.03	0.1	0.1	0	0.01	0.21
ES_Gim_14_35	0.33	0.01	0.1	0.1	0	0.02	0.09
FI_Aka_14_36	0.24	0.05	0.03	0.01	0	0.01	0
FI_Aka_14_37	0.27	0.03	0.01	0.01	0	0.01	0.01
FI_Ves_14_38	0.31	0.01	0	0.01	0	0.02	0.02
FR_Got_14_08	0.04	0.01	0.02	0.04	0	0.02	0.01
FR_Vil_14_05	0.14	0.05	0.05	0.05	0	0.03	0.03
FR_Vil_14_07	0.07	0.01	0.04	0.01	0.02	0.02	0.08
PT_Rec_14_33	0.17	0.05	0.05	0.05	0	0.04	0.13
RU_Val_14_51	0.19	0.02	0.01	0.02	0	0.01	0.06
SE_Lun_14_30	0.16	0.03	0.01	0.04	0.02	0.01	0.02
TR_Yes_14_03	0.15	0.06	0.04	0.03	0	0.01	0.09
TR_Yes_14_04	0.16	0.01	0.03	0.03	0.01	0.01	0.13
UA_Che_14_28	0.27	0.08	0.04	0.01	0	0.01	0.02
UA_Che_14_29	0.23	0.1	0.04	0.03	0	0.03	0.02
UA_Che_14_47	0.15	0.05	0.11	0.03	0	0.02	0.08
UA_Che_14_48	0.29	0.04	0.02	0.01	0	0.02	0.05
UA_Dro_14_27	0.17	0.09	0	0.01	0	0.02	0.06
UA_Kha_14_45	0.2	0.09	0.1	0.02	0	0.02	0.04
UA_Kha_14_46	0.17	0.07	0.06	0.02	0	0.01	0.02
UA_Kyi_14_23	0.18	0.1	0.04	0.01	0	0.02	0.07
UA_Kyi_14_24	0.24	0.09	0.04	0.03	0	0.01	0.08
UA_Kyi_14_49	0.17	0.18	0.05	0.05	0	0.02	0.03
UA_Ode_14_19	0.1	0.11	0.01	0.01	0.01	0.02	0.05
UA_Ode_14_20	0.19	0.1	0.02	0.04	0	0.03	0.03
UA_Ode_14_21	0.2	0.09	0.08	0.04	0	0.05	0.05
UA_Ode_14_22	0.35	0.14	0.07	0.03	0	0.02	0.04
UA_Pir_14_26	0.19	0.08	0.11	0.02	0	0.03	0.03
UA_Uma_14_50	0.14	0.12	0.06	0.01	0	0.03	0.09
UA_Var_14_25	0.24	0.1	0.07	0.03	0	0.02	0.04
UA_Yal_14_16	0.16	0.03	0.01	0.01	0	0.01	0.09
UA_Yal_14_18	0.18	0.03	0.03	0.02	0	0.02	0.07
UK_Lut_14_13	0.08	0.02	0.02	0.01	0	0.03	0.02
UK_Mar_14_12	0.01	0.02	0.03	0.01	0	0.01	0.04
UK_She_14_09	0.14	0	0	0.01	0	0.01	0.02
UK_Sou_14_10	0.1	0.01	0	0.01	0	0.01	0
