sampleId	fruit_type	fruit_type_Currated	Apple	Grape	Banana	Melon	Watermelon	Peach	Pear	Pomegranate	Plum	Raspberry	Mulberry	Persimmon	Fig	Cherry	Berries	Mixed	Yeast	Beer	Kvass	onGround	Microvawe	Boiled
AT_Kar_See_1_2014-08-17	NA	NA																						
AT_Kar_See_1_2016-08-01	NA	NA																						
AT_Nie_Mau_1_2014-07-20	NA	NA																						
AT_Nie_Mau_1_2014-10-19	NA	NA																						
AT_Nie_Mau_1_2015-07-20	NA	NA																						
AT_Nie_Mau_1_2015-10-19	NA	NA																						
AT_Wie_Gro_1_2012-08-03	NA	NA																						
AT_Wie_Gro_1_2012-10-20	NA	NA																						
AU_Que_Inn_-1_2014-02-15	NA	NA																						
AU_Que_Inn_0_2014-02-15	NA	NA																						
AU_Que_Inn_10_2014-02-15	NA	NA																						
AU_Que_Inn_11_2014-02-15	NA	NA																						
AU_Que_Inn_12_2014-02-15	NA	NA																						
AU_Que_Inn_13_2014-02-15	NA	NA																						
AU_Que_Inn_14_2014-02-15	NA	NA																						
AU_Que_Inn_15_2014-02-15	NA	NA																						
AU_Que_Inn_16_2014-02-15	NA	NA																						
AU_Que_Inn_17_2014-02-15	NA	NA																						
AU_Que_Inn_18_2014-02-15	NA	NA																						
AU_Que_Inn_19_2014-02-15	NA	NA																						
AU_Que_Inn_1_2014-02-15	NA	NA																						
AU_Que_Inn_1_NA-MM-DD	NA	NA																						
AU_Que_Inn_20_2014-02-15	NA	NA																						
AU_Que_Inn_2_2014-02-15	NA	NA																						
AU_Que_Inn_3_2014-02-15	NA	NA																						
AU_Que_Inn_4_2014-02-15	NA	NA																						
AU_Que_Inn_5_2014-02-15	NA	NA																						
AU_Que_Inn_6_2014-02-15	NA	NA																						
AU_Que_Inn_7_2014-02-15	NA	NA																						
AU_Que_Inn_8_2014-02-15	NA	NA																						
AU_Que_Inn_9_2014-02-15	NA	NA																						
AU_Que_Isl_0_2014-03-15	NA	NA																						
AU_Que_Isl_10_2014-03-15	NA	NA																						
AU_Que_Isl_1_2014-03-15	NA	NA																						
AU_Que_Isl_2_2014-03-15	NA	NA																						
AU_Que_Isl_3_2014-03-15	NA	NA																						
AU_Que_Isl_4_2014-03-15	NA	NA																						
AU_Que_Isl_5_2014-03-15	NA	NA																						
AU_Que_Isl_6_2014-03-15	NA	NA																						
AU_Que_Isl_7_2014-03-15	NA	NA																						
AU_Que_Isl_8_2014-03-15	NA	NA																						
AU_Que_Isl_9_2014-03-15	NA	NA																						
AU_Que_Que_1_2004-07-01	NA	NA																						
AU_Que_Que_2_2004-07-01	NA	NA																						
AU_Que_Yep_0_2014-05-16	NA	NA																						
AU_Que_Yep_10_2014-05-16	NA	NA																						
AU_Que_Yep_1_2014-05-16	NA	NA																						
AU_Que_Yep_2_2014-05-16	NA	NA																						
AU_Que_Yep_3_2014-05-16	NA	NA																						
AU_Que_Yep_4_2014-05-16	NA	NA																						
AU_Que_Yep_5_2014-05-16	NA	NA																						
AU_Que_Yep_6_2014-05-16	NA	NA																						
AU_Que_Yep_7_2014-05-16	NA	NA																						
AU_Que_Yep_8_2014-05-16	NA	NA																						
AU_Que_Yep_9_2014-05-16	NA	NA																						
AU_Sou_MtG_0_2014-04-16	NA	NA																						
AU_Sou_MtG_10_2014-04-16	NA	NA																						
AU_Sou_MtG_1_2014-04-16	NA	NA																						
AU_Sou_MtG_2_2014-04-16	NA	NA																						
AU_Sou_MtG_3_2014-04-16	NA	NA																						
AU_Sou_MtG_4_2014-04-16	NA	NA																						
AU_Sou_MtG_5_2014-04-16	NA	NA																						
AU_Sou_MtG_6_2014-04-16	NA	NA																						
AU_Sou_MtG_7_2014-04-16	NA	NA																						
AU_Sou_MtG_8_2014-04-16	NA	NA																						
AU_Sou_MtG_9_2014-04-16	NA	NA																						
AU_Tas_Hil_0_2014-04-16	NA	NA																						
AU_Tas_Hil_10_2014-04-16	NA	NA																						
AU_Tas_Hil_1_2014-04-16	NA	NA																						
AU_Tas_Hil_2_2014-04-16	NA	NA																						
AU_Tas_Hil_3_2014-04-16	NA	NA																						
AU_Tas_Hil_4_2014-04-16	NA	NA																						
AU_Tas_Hil_5_2014-04-16	NA	NA																						
AU_Tas_Hil_6_2014-04-16	NA	NA																						
AU_Tas_Hil_7_2014-04-16	NA	NA																						
AU_Tas_Hil_8_2014-04-16	NA	NA																						
AU_Tas_Hil_9_2014-04-16	NA	NA																						
AU_Tas_Luc_0_2014-04-16	NA	NA																						
