sampleId,Stock.ID,Genome.Type,Mean.Depth,Data.Group,dgn_set,i.Genome.Type,i.dgn_set,n
B,B04,inbred_line,13.7,CLARK,B/CLARK,inbred_line,B/CLARK,15
B,B05,inbred_line,13.4,CLARK,B/CLARK,inbred_line,B/CLARK,15
B,B10,inbred_line,13.5,CLARK,B/CLARK,inbred_line,B/CLARK,15
B,B11,inbred_line,12.9,CLARK,B/CLARK,inbred_line,B/CLARK,15
B,B12,inbred_line,14,CLARK,B/CLARK,inbred_line,B/CLARK,15
B,B14,inbred_line,13.1,CLARK,B/CLARK,inbred_line,B/CLARK,15
B,B23,inbred_line,12,CLARK,B/CLARK,inbred_line,B/CLARK,15
B,B28,inbred_line,13.3,CLARK,B/CLARK,inbred_line,B/CLARK,15
B,B38,inbred_line,13.2,CLARK,B/CLARK,inbred_line,B/CLARK,15
B,B42,inbred_line,12.9,CLARK,B/CLARK,inbred_line,B/CLARK,15
B,B43,inbred_line,12.6,CLARK,B/CLARK,inbred_line,B/CLARK,15
B,B51,inbred_line,12.2,CLARK,B/CLARK,inbred_line,B/CLARK,15
B,B52,inbred_line,13.4,CLARK,B/CLARK,inbred_line,B/CLARK,15
B,B54,inbred_line,13.6,CLARK,B/CLARK,inbred_line,B/CLARK,15
B,B59,inbred_line,10.8,CLARK,B/CLARK,inbred_line,B/CLARK,15
CO,CO1,haploid_embryo,34.5,DPGP2,CO/DPGP2,haploid_embryo,CO/DPGP2,10
CO,CO10N,haploid_embryo,29,DPGP2,CO/DPGP2,haploid_embryo,CO/DPGP2,10
CO,CO13N,haploid_embryo,39.8,DPGP2,CO/DPGP2,haploid_embryo,CO/DPGP2,10
CO,CO14,haploid_embryo,28.4,DPGP2,CO/DPGP2,haploid_embryo,CO/DPGP2,10
CO,CO15N,haploid_embryo,44.2,DPGP2,CO/DPGP2,haploid_embryo,CO/DPGP2,10
CO,CO16,haploid_embryo,27.4,DPGP2,CO/DPGP2,haploid_embryo,CO/DPGP2,10
CO,CO2,haploid_embryo,39.5,DPGP2,CO/DPGP2,haploid_embryo,CO/DPGP2,10
CO,CO4N,haploid_embryo,37.7,DPGP2,CO/DPGP2,haploid_embryo,CO/DPGP2,10
CO,CO8N,haploid_embryo,35.1,DPGP2,CO/DPGP2,haploid_embryo,CO/DPGP2,10
CO,CO9N,haploid_embryo,40.8,DPGP2,CO/DPGP2,haploid_embryo,CO/DPGP2,10
EA,EA103N,inbred_line,15.5,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA117N,inbred_line,14.4,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA124N,inbred_line,18.4,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA126N,inbred_line,17.7,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA13N,inbred_line,19.8,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA22N,inbred_line,20.2,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA2N,inbred_line,38,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA30N,inbred_line,35.5,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA31N,inbred_line,21.2,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA37N,inbred_line,16.7,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA50N,inbred_line,32.2,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA58N,inbred_line,20.6,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA59N,inbred_line,15.3,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA70N,inbred_line,54.1,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA84N,inbred_line,32.3,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA86N,inbred_line,8.5,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA87N,inbred_line,25.5,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA90N,inbred_line,27.6,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA91N,inbred_line,25.1,POOL,EA/POOL,inbred_line,EA/POOL,20
EA,EA93N,inbred_line,11.8,POOL,EA/POOL,inbred_line,EA/POOL,20
EB,EB132,haploid_embryo,15.2,AGES,EB/AGES,haploid_embryo,EB/AGES,5
EB,EB148,haploid_embryo,27.4,AGES,EB/AGES,haploid_embryo,EB/AGES,5
EB,EB18,haploid_embryo,22.7,AGES,EB/AGES,haploid_embryo,EB/AGES,5
EB,EB237,haploid_embryo,18.9,AGES,EB/AGES,haploid_embryo,EB/AGES,5
EB,EB25,haploid_embryo,19.4,AGES,EB/AGES,haploid_embryo,EB/AGES,5
ED,ED10N,haploid_embryo,38.5,DPGP2,ED/DPGP2,haploid_embryo,ED/DPGP2,5
ED,ED2,haploid_embryo,32.4,DPGP2,ED/DPGP2,haploid_embryo,ED/DPGP2,5
ED,ED3,haploid_embryo,31,DPGP2,ED/DPGP2,haploid_embryo,ED/DPGP2,5
ED,ED5N,haploid_embryo,32.9,DPGP2,ED/DPGP2,haploid_embryo,ED/DPGP2,5
ED,ED6N,haploid_embryo,35.8,DPGP2,ED/DPGP2,haploid_embryo,ED/DPGP2,5
EF,EF101N,inbred_line,21.6,POOL,EF/POOL,inbred_line,EF/POOL,63
EF,EF102N,inbred_line,13.7,POOL,EF/POOL,inbred_line,EF/POOL,63
EF,EF103N,inbred_line,19.7,POOL,EF/POOL,inbred_line,EF/POOL,63
EF,EF108N,inbred_line,20.6,POOL,EF/POOL,inbred_line,EF/POOL,63
EF,EF10N,inbred_line,41.7,POOL,EF/POOL,inbred_line,EF/POOL,63
EF,EF110N,inbred_line,28.4,POOL,EF/POOL,inbred_line,EF/POOL,63
EF,EF112N,inbred_line,16.8,POOL,EF/POOL,inbred_line,EF/POOL,63
EF,EF114N,inbred_line,15.7,POOL,EF/POOL,inbred_line,EF/POOL,63
EF,EF115N,inbred_line,18.8,POOL,EF/POOL,inbred_line,EF/POOL,63
EF,EF116N,inbred_line,36,POOL,EF/POOL,inbred_line,EF/POOL,63
EF,EF117N,inbred_line,39.6,POOL,EF/POOL,inbred_line,EF/POOL,63
