Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,lat_lon,strain,collected_by,isolate,AssemblyName,Age,Biomaterial_provider,Breed,Cultivar,Ecotype,sample_type,Host,identified_by,isolation_source
SRR3939042,WGS,250,16669496750,PRJNA308584,SAMN05382896,Model organism or animal,6133133304,STANFORD UNIVERSITY,13-Jun-2012,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968271,USA,North America,"USA: Esparto\, California",Illumina HiSeq 2000,mel137_062012_RD,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel137_062012_RD,male,SRP075757,whole organism,38.68 N 122.046 W,wild,H. Machado,,,,,,,,,,,
SRR3939043,WGS,184,10865307272,PRJNA308584,SAMN05382897,Model organism or animal,6833346031,STANFORD UNIVERSITY,22-Aug-2012,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968272,USA,North America,"USA: Esparto\, California",Illumina HiSeq 2000,mel142_082012_RD,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel142_082012_RD,male,SRP075757,whole organism,38.68 N 122.046 W,wild,H. Machado,,,,,,,,,,,
SRR3939044,WGS,184,12247964048,PRJNA308584,SAMN05382906,Model organism or animal,7981867920,STANFORD UNIVERSITY,14-May-2013,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968273,USA,North America,"USA: Tuolumne\, California",Illumina HiSeq 2000,mel171_052013_CO,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel171_052013_CO,male,SRP075757,whole organism,37.97 N 120.26 W,wild,H. Machado,,,,,,,,,,,
SRR3939045,WGS,219,14516336044,PRJNA308584,SAMN05382907,Model organism or animal,7828000802,STANFORD UNIVERSITY,30-Aug-2013,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968274,USA,North America,"USA: Placerville\, California",Illumina HiSeq 2000,mel175_082013_GB,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel175_082013_GB,male,SRP075757,whole organism,38.74 N 120.74 W,wild,H. Machado,,,,,,,,,,,
SRR3939046,WGS,219,17052693534,PRJNA308584,SAMN05382908,Model organism or animal,9297176447,STANFORD UNIVERSITY,31-Aug-2013,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968275,USA,North America,"USA: Tuolumne\, California",Illumina HiSeq 2000,mel176_082013_CO,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-04-07T00:00:00Z,mel176_082013_CO,male,SRP075757,whole organism,37.97 N 120.26 W,wild,H. Machado,,,,,,,,,,,
SRR3939047,WGS,220,16085180294,PRJNA308584,SAMN05382909,Model organism or animal,8545972931,STANFORD UNIVERSITY,03-Sep-2013,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968276,USA,North America,"USA: Stockton\, California",Illumina HiSeq 2000,mel177_092013_FB,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel177_092013_FB,male,SRP075757,whole organism,38.02 N 121.2 W,wild,H. Machado,,,,,,,,,,,
SRR3939048,WGS,219,15567038240,PRJNA308584,SAMN05382910,Model organism or animal,8384151442,STANFORD UNIVERSITY,01-Sep-2013,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968277,USA,North America,"USA: Esparto\, California",Illumina HiSeq 2000,mel178_092013_RD,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-04-06T00:00:00Z,mel178_092013_RD,male,SRP075757,whole organism,38.68 N 122.046 W,wild,H. Machado,,,,,,,,,,,
SRR3939049,WGS,250,11096867000,PRJNA308584,SAMN05382911,Model organism or animal,4077514182,STANFORD UNIVERSITY,08-Dec-2013,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968278,USA,North America,"USA: Tuolumne\, California",Illumina HiSeq 2000,mel180_122013_CO,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel180_122013_CO,male,SRP075757,whole organism,37.97 N 120.26 W,wild,H. Machado,,,,,,,,,,,
SRR3939050,WGS,250,11693447750,PRJNA308584,SAMN05382912,Model organism or animal,4273919248,STANFORD UNIVERSITY,16-Dec-2013,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968279,USA,North America,"USA: Placerville\, California",Illumina HiSeq 2000,mel181_122013_GB,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel181_122013_GB,male,SRP075757,whole organism,38.74 N 120.74 W,wild,H. Machado,,,,,,,,,,,
SRR3939051,WGS,302,41110272762,PRJNA308584,SAMN05382913,Model organism or animal,19289756520,STANFORD UNIVERSITY,02-Jul-2013,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968280,USA,North America,"USA: Cross Plains\, Wisconsin",Illumina HiSeq 4000,mel13CWI7_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel13CWI7_SPT,male,SRP075757,whole organism,43.11 N 89.65 W,wild,Pool,,,,,,,,,,,
