Accession	Title	BioProject	BioSample	Status	Release Date	Created	Updated	Submission	SRA.filename
SRR25232480	DK_Mid_Kar_1_2020-10-31 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404791	Released	2025-04-29	2023-07-11T15:27:20Z	2025-04-29T12:43:12Z	SUB13646505	DrosEu-115_1.fastq.gz, DrosEu-115_2.fastq.gz
SRR25232483	DK_Mid_Kar_1_2019-07-09 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404788	Released	2025-04-29	2023-07-11T15:27:20Z	2025-04-29T12:43:12Z	SUB13646505	DrosEu-168_1.fastq.gz, DrosEu-168_2.fastq.gz
SRR25232479	ES_Bal_Tom_1_2021-10-07 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404792	Released	2025-04-29	2023-07-11T15:27:19Z	2025-04-29T12:43:12Z	SUB13646505	DrosEu-17_1.fastq.gz, DrosEu-17_2.fastq.gz
SRR25232482	DK_Mid_Kar_1_2019-10-01 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404789	Released	2025-04-29	2023-07-11T15:27:20Z	2025-04-29T12:43:12Z	SUB13646505	DrosEu-237_1.fastq.gz, DrosEu-237_2.fastq.gz
SRR25232485	DK_Mid_Kar_1_2018-06-30 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404786	Released	2025-04-29	2023-07-11T15:27:20Z	2025-04-29T12:43:12Z	SUB13646505	DrosEu-174_1.fastq.gz, DrosEu-174_2.fastq.gz
SRR25232481	DK_Mid_Kar_1_2020-07-31 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404790	Released	2025-04-29	2023-07-11T15:27:20Z	2025-04-29T12:43:12Z	SUB13646505	DrosEu-114_1.fastq.gz, DrosEu-114_2.fastq.gz
SRR25232484	DK_Mid_Kar_1_2018-10-05 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404787	Released	2025-04-29	2023-07-11T15:27:20Z	2025-04-29T12:43:12Z	SUB13646505	DrosEu-175_1.fastq.gz, DrosEu-175_2.fastq.gz
SRR25232486	DK_Mid_Kar_1_2017-08-08 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404785	Released	2025-04-29	2023-07-11T15:27:20Z	2025-04-29T12:43:11Z	SUB13646505	DrosEu-234_1.fastq.gz, DrosEu-234_2.fastq.gz
SRR25232489	DE_Bra_Ber_1_2021-07-24 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404783	Released	2025-04-29	2023-07-11T15:27:20Z	2025-04-29T12:43:11Z	SUB13646505	DrosEu-78_1.fastq.gz, DrosEu-78_2.fastq.gz
SRR25232495	EC_Pic_Con_1_2019-06-26 Drosophila melanogaster NA	PRJNA993612	SAMN36404982	Released	2025-04-29	2023-07-11T15:27:21Z	2025-04-29T12:43:11Z	SUB13646505	Conocotoco_1.fastq.gz, Conocotoco_2.fastq.gz
SRR25232498	CO_Mag_Sie_1_2019-07-24 Drosophila melanogaster NA	PRJNA993612	SAMN36404979	Released	2025-04-29	2023-07-11T15:27:21Z	2025-04-29T12:43:11Z	SUB13646505	Minca_1.fastq.gz, Minca_2.fastq.gz
SRR25232501	BR_Sao_USP_1_2019-09-15 Drosophila melanogaster NA	PRJNA993612	SAMN36404976	Released	2025-04-29	2023-07-11T15:27:22Z	2025-04-29T12:43:11Z	SUB13646505	USP_Sao_Paulo_1.fastq.gz, USP_Sao_Paulo_2.fastq.gz
SRR25232507	US_Vir_Cha_1_2020-07-03 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404971	Released	2025-04-29	2023-07-11T15:27:23Z	2025-04-29T12:43:11Z	SUB13646505	DrosEu-245_1.fastq.gz, DrosEu-245_2.fastq.gz
SRR25232499	CO_Cun_Tab_1_2019-12-20 Drosophila melanogaster NA	PRJNA993612	SAMN36404978	Released	2025-04-29	2023-07-11T15:27:22Z	2025-04-29T12:43:11Z	SUB13646505	Los_Arbustos_1.fastq.gz, Los_Arbustos_2.fastq.gz
SRR25232502	BR_Rio_San_1_2020-01-06 Drosophila melanogaster NA	PRJNA993612	SAMN36404975	Released	2025-04-29	2023-07-11T15:27:22Z	2025-04-29T12:43:11Z	SUB13646505	Santa_Maria_1.fastq.gz, Santa_Maria_2.fastq.gz
SRR25232505	US_Vir_Cha_1_2020-09-30 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404973	Released	2025-04-29	2023-07-11T15:27:23Z	2025-04-29T12:43:11Z	SUB13646505	DrosEu-251_1.fastq.gz, DrosEu-251_2.fastq.gz
SRR25232508	US_Vir_Cha_1_2019-09-06 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404970	Released	2025-04-29	2023-07-11T15:27:23Z	2025-04-29T12:43:11Z	SUB13646505	DrosEu-240_1.fastq.gz, DrosEu-240_2.fastq.gz
SRR25232488	DE_Bra_Ber_2_2021-07-24 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404784	Released	2025-04-29	2023-07-11T15:27:20Z	2025-04-29T12:43:11Z	SUB13646505	DrosEu-97_1.fastq.gz, DrosEu-97_2.fastq.gz
SRR25232497	CO_Tol_Gir_1_2019-04-04 Drosophila melanogaster NA	PRJNA993612	SAMN36404980	Released	2025-04-29	2023-07-11T15:27:21Z	2025-04-29T12:43:11Z	SUB13646505	Girardot_1.fastq.gz, Girardot_2.fastq.gz
SRR25232500	CO_Cun_LaV_1_2019-02-21 Drosophila melanogaster NA	PRJNA993612	SAMN36404977	Released	2025-04-29	2023-07-11T15:27:22Z	2025-04-29T12:43:11Z	SUB13646505	La_Vega_1.fastq.gz, La_Vega_2.fastq.gz
SRR25232503	DE_Bay_Mun_1_2020-09-05 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404777	Released	2025-04-29	2023-07-11T15:27:22Z	2025-04-29T12:43:11Z	SUB13646505	DrosEu-95_1.fastq.gz, DrosEu-95_2.fastq.gz
SRR25232506	US_Vir_Cha_1_2020-08-21 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404972	Released	2025-04-29	2023-07-11T15:27:23Z	2025-04-29T12:43:11Z	SUB13646505	DrosEu-248_1.fastq.gz, DrosEu-248_2.fastq.gz
SRR25232509	US_Vir_Cha_1_2019-08-14 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404969	Released	2025-04-29	2023-07-11T15:27:23Z	2025-04-29T12:43:11Z	SUB13646505	DrosEu-239_1.fastq.gz, DrosEu-239_2.fastq.gz
SRR25232487	CH_Vau_Vul_1_2018-09-18 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404758	Released	2025-04-29	2023-07-11T15:27:20Z	2025-04-29T12:43:11Z	SUB13646505	DrosEu-113_1.fastq.gz, DrosEu-113_2.fastq.gz
SRR25232496	CO_Tol_Mel_1_2019-06-11 Drosophila melanogaster NA	PRJNA993612	SAMN36404981	Released	2025-04-29	2023-07-11T15:27:21Z	2025-04-29T12:43:11Z	SUB13646505	Melgar_1.fastq.gz, Melgar_2.fastq.gz
SRR25232512	HU_Pes_Pil_1_2018-10-30 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404849	Released	2025-04-29	2023-07-11T15:27:24Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-134_1.fastq.gz, DrosEu-134_2.fastq.gz
SRR25232515	HR_Dub_Her_1_2019-09-19 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404846	Released	2025-04-29	2023-07-11T15:27:24Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-160_1.fastq.gz, DrosEu-160_2.fastq.gz
SRR25232518	GR_Kri_Ira_1_2019-MM-DD Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404844	Released	2025-04-29	2023-07-11T15:27:25Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-172_1.fastq.gz, DrosEu-172_2.fastq.gz
SRR25232521	GR_Kri_Her_1_2020-07-13 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404841	Released	2025-04-29	2023-07-11T15:27:25Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-118_1.fastq.gz, DrosEu-118_2.fastq.gz
SRR25232492	DE_Bay_Wue_1_2020-09-23 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404780	Released	2025-04-29	2023-07-11T15:27:21Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-106_1.fastq.gz, DrosEu-106_2.fastq.gz
SRR25232504	US_Vir_Cha_1_2021-10-15 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404974	Released	2025-04-29	2023-07-11T15:27:23Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-242_1.fastq.gz, DrosEu-242_2.fastq.gz
SRR25232510	US_Vir_Cha_1_2019-06-18 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404968	Released	2025-04-29	2023-07-11T15:27:24Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-238_1.fastq.gz, DrosEu-238_2.fastq.gz
SRR25232513	HU_Pes_Pil_1_2018-07-04 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404848	Released	2025-04-29	2023-07-11T15:27:24Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-135_1.fastq.gz, DrosEu-135_2.fastq.gz
SRR25232511	HU_Pes_Pil_1_2020-08-17 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404850	Released	2025-04-29	2023-07-11T15:27:24Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-137_1.fastq.gz, DrosEu-137_2.fastq.gz
SRR25232514	HR_Dub_Kam_1_2017-09-20 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404847	Released	2025-04-29	2023-07-11T15:27:24Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-200_1.fastq.gz, DrosEu-200_2.fastq.gz
SRR25232517	DE_Bad_Bro_1_2018-06-26 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404764	Released	2025-04-29	2023-07-11T15:27:24Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-192_1.fastq.gz, DrosEu-192_2.fastq.gz
SRR25232520	GR_Kri_Ira_1_2017-11-06 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404842	Released	2025-04-29	2023-07-11T15:27:25Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-214_1.fastq.gz, DrosEu-214_2.fastq.gz
SRR25232516	GR_Kri_Ira_1_2021-10-20 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404845	Released	2025-04-29	2023-07-11T15:27:24Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-79_1.fastq.gz, DrosEu-79_2.fastq.gz
SRR25232519	GR_Kri_Ira_1_2018-10-11 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404843	Released	2025-04-29	2023-07-11T15:27:25Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-146_1.fastq.gz, DrosEu-146_2.fastq.gz
SRR25232491	DE_Bay_Wue_1_2021-07-27 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404781	Released	2025-04-29	2023-07-11T15:27:20Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-49_1.fastq.gz, DrosEu-49_2.fastq.gz
SRR25232494	DE_Bay_Mun_1_2021-06-25 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404778	Released	2025-04-29	2023-07-11T15:27:21Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-93_1.fastq.gz, DrosEu-93_2.fastq.gz
SRR25232490	DE_Bay_Wue_1_2021-10-18 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404782	Released	2025-04-29	2023-07-11T15:27:20Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-48_1.fastq.gz, DrosEu-48_2.fastq.gz
SRR25232493	DE_Bay_Wue_1_2020-07-18 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404779	Released	2025-04-29	2023-07-11T15:27:21Z	2025-04-29T12:43:10Z	SUB13646505	DrosEu-105_1.fastq.gz, DrosEu-105_2.fastq.gz
SRR25232524	GB_Nor_Mar_2_2017-10-10 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404838	Released	2025-04-29	2023-07-11T15:27:25Z	2025-04-29T12:43:09Z	SUB13646505	DrosEu-207_1.fastq.gz, DrosEu-207_2.fastq.gz
SRR25232527	GB_Fif_Dai_1_2020-MM-DD Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404835	Released	2025-04-29	2023-07-11T15:27:25Z	2025-04-29T12:43:09Z	SUB13646505	DrosEu-186_1.fastq.gz, DrosEu-186_2.fastq.gz
SRR25232523	GB_Nor_Mar_3_2017-10-10 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404839	Released	2025-04-29	2023-07-11T15:27:25Z	2025-04-29T12:43:09Z	SUB13646505	DrosEu-213_1.fastq.gz, DrosEu-213_2.fastq.gz
SRR25232526	GB_Ken_Ken_1_2019-09-16 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404836	Released	2025-04-29	2023-07-11T15:27:25Z	2025-04-29T12:43:09Z	SUB13646505	DrosEu-169_1.fastq.gz, DrosEu-169_2.fastq.gz
SRR25232529	GB_Edi_Edi_1_2021-10-04 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404834	Released	2025-04-29	2023-07-11T15:27:25Z	2025-04-29T12:43:09Z	SUB13646505	DrosEu-53_1.fastq.gz, DrosEu-53_2.fastq.gz
SRR25232522	GB_Per_Dru_1_2020-09-07 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404840	Released	2025-04-29	2023-07-11T15:27:25Z	2025-04-29T12:43:09Z	SUB13646505	DrosEu-116_1.fastq.gz, DrosEu-116_2.fastq.gz
SRR25232525	GB_Nor_Mar_1_2017-10-10 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404837	Released	2025-04-29	2023-07-11T15:27:25Z	2025-04-29T12:43:09Z	SUB13646505	DrosEu-206_1.fastq.gz, DrosEu-206_2.fastq.gz
SRR25232528	DE_Bad_Bro_1_2017-06-27 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404763	Released	2025-04-29	2023-07-11T15:27:25Z	2025-04-29T12:43:09Z	SUB13646505	DrosEu-191_1.fastq.gz, DrosEu-191_2.fastq.gz
SRR25232540	FR_Cot_Vie_1_2021-08-11 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404824	Released	2025-04-29	2023-07-11T15:27:26Z	2025-04-29T12:43:09Z	SUB13646505	DrosEu-102_1.fastq.gz, DrosEu-102_2.fastq.gz
SRR25232541	FR_Cot_Vie_1_2020-08-03 Drosophila melanogaster Wild flies	PRJNA993612	SAMN36404823	Released	2025-04-29	2023-07-11T15:27:26Z	2025-04-29T12:43:09Z	SUB13646505	DrosEu-101_1.fastq.gz, DrosEu-101_2.fastq.gz
