sampleId,year,yday,exactDate,locality,lat,long,continent,country,city,type,set,nFlies
AT_Mau_14_01,2014,201,TRUE,AT_Mau,48.375,15.56,Europe,Austria,Mauternbach,pooled,DrosEU,40
AT_Mau_14_02,2014,292,TRUE,AT_Mau,48.375,15.56,Europe,Austria,Mauternbach,pooled,DrosEU,40
AT_Mau_15_50,2015,201,TRUE,AT_Mau,48.375,15.56,Europe,Austria,Mauternbach,pooled,DrosEU,40
AT_Mau_15_51,2015,292,TRUE,AT_Mau,48.375,15.56,Europe,Austria,Mauternbach,pooled,DrosEU,40
AT_See_14_44,2014,229,TRUE,AT_See,46.8136889,13.50794792,Europe,Austria,Seeboden,pooled,DrosEU,40
AT_See_16_1,2016,214,TRUE,AT_See,46.8136889,13.50794792,Europe,Austria,Seeboden,pooled,DrosEU,40
AT_gr_12_fall,2012,294,TRUE,AT_gr,48.2,16.37,Europe,Austria,Gross-Enzersdorf,pooled,DrosRTEC,44
AT_gr_12_spring,2012,216,TRUE,AT_gr,48.2,16.37,Europe,Austria,Gross-Enzersdorf,pooled,DrosRTEC,62
B,1992,259,FALSE,B,39.91,116.41,Asia,China,Beijing,inbred_line,dgn,15
BY_Bre_15_13,2015,254,TRUE,BY_Bre,52.142193,23.662434,Europe,Belarus,Brest,pooled,DrosEU,40
CA_es_12_fall,2012,235,TRUE,CA_es,38.68,-122.046,North_America,USA,Esparto,pooled,DrosRTEC,92
CA_es_12_frost,2012,325,TRUE,CA_es,38.68,-122.046,North_America,USA,Esparto,pooled,DrosRTEC,92
CA_es_12_spring,2012,165,TRUE,CA_es,38.68,-122.046,North_America,USA,Esparto,pooled,DrosRTEC,27
CA_es_13_fall,2013,244,TRUE,CA_es,38.68,-122.046,North_America,USA,Esparto,pooled,DrosRTEC,57
CA_es_13_spring,2013,127,TRUE,CA_es,38.68,-122.046,North_America,USA,Esparto,pooled,DrosRTEC,50
CA_pl_12_fall,2012,238,TRUE,CA_pl,38.74,-120.74,North_America,USA,Placerville,pooled,DrosRTEC,100
CA_pl_12_frost,2012,323,TRUE,CA_pl,38.74,-120.74,North_America,USA,Placerville,pooled,DrosRTEC,56
CA_pl_13_fall,2013,242,TRUE,CA_pl,38.74,-120.74,North_America,USA,Placerville,pooled,DrosRTEC,88
CA_pl_13_frost,2013,350,TRUE,CA_pl,38.74,-120.74,North_America,USA,Placerville,pooled,DrosRTEC,72
CA_st_12_fall,2012,275,TRUE,CA_st,38.02,-121.2,North_America,USA,Stockton,pooled,DrosRTEC,100
