POP N MAF Chrom NS SS pNpS private TH.pNpS TH.private Status
AT_gr_12_fall 14853 0 genomewide 55386 160283 0.345551306127287 4.17181418105115 Keep Keep Keep
AT_gr_12_spring 9308 0 genomewide 46837 141806 0.330289268437161 3.96885637461469 Keep Keep Keep
AT_Mau_14_01 635951 0 genomewide 263328 189326 1.39087077316375 5.80342365456442 Exclude Exclude Exclude
AT_Mau_14_02 565511 0 genomewide 242949 186598 1.30199144685366 5.75244105699417 Exclude Exclude Exclude
AT_Mau_15_50 29048 0 genomewide 63215 166702 0.379209607563197 4.46311623590484 Keep Keep Keep
AT_Mau_15_51 14018 0 genomewide 61613 155664 0.395807636961661 4.14668605564753 Keep Keep Keep
AT_See_14_44 308017 0 genomewide 167051 179054 0.932964357121315 5.48857468663826 Keep Exclude Exclude
AT_See_16_1 59141 0 genomewide 71888 180763 0.397692005554234 4.77188866362619 Keep Keep Keep
BY_Bre_15_13 11004 0 genomewide 55950 147676 0.378869958557924 4.04155058171765 Keep Keep Keep
CA_es_12_fall 13404 0 genomewide 59032 170427 0.346377041196524 4.12723441916323 Keep Keep Keep
CA_es_12_frost 12779 0 genomewide 58916 170760 0.345022253455142 4.10649687013897 Keep Keep Keep
CA_es_12_spring 20028 0 genomewide 63834 178624 0.357365191687567 4.30163758272687 Keep Keep Keep
CA_es_13_fall 21203 0 genomewide 65903 182659 0.360797989696648 4.32639731334711 Keep Keep Keep
CA_es_13_spring 16904 0 genomewide 62513 175791 0.355609786621613 4.22798948404426 Keep Keep Keep
CA_pl_12_fall 17895 0 genomewide 70075 192355 0.364300382106002 4.25273170272602 Keep Keep Keep
CA_pl_12_frost 12289 0 genomewide 60138 172851 0.347918149157367 4.08951654422482 Keep Keep Keep
CA_pl_13_fall 20069 0 genomewide 66792 185679 0.359717577108881 4.30252573296074 Keep Keep Keep
CA_pl_13_frost 17138 0 genomewide 63891 179155 0.35662415227038 4.23396013849477 Keep Keep Keep
CA_st_12_fall 8065 0 genomewide 54272 161526 0.335995443458019 3.90660437172498 Keep Keep Keep
CA_st_12_frost 11434 0 genomewide 57021 166731 0.341993990319737 4.05819818787825 Keep Keep Keep
CA_st_13_fall 23748 0 genomewide 67129 183710 0.365407435632246 4.37562704025402 Keep Keep Keep
CA_tu_12_fall 10948 0 genomewide 54189 159029 0.340749171534752 4.03933478873809 Keep Keep Keep
CA_tu_12_frost 20810 0 genomewide 69748 190169 0.366768505907903 4.31827208021163 Keep Keep Keep
CA_tu_13_fall 24707 0 genomewide 71546 192245 0.372160524330932 4.39282001523039 Keep Keep Keep
CA_tu_13_frost 10422 0 genomewide 60820 176422 0.344741585516546 4.01795106883074 Keep Keep Keep
CA_tu_13_spring 10316 0 genomewide 60191 173243 0.347436837274811 4.0135113334659 Keep Keep Keep
CH_Cha_14_42 48020 0 genomewide 65388 160245 0.40805017317233 4.68142215572101 Keep Keep Keep
CH_Cha_14_43 406414 0 genomewide 192577 175302 1.09854422653478 5.60896865995013 Exclude Exclude Exclude
CH_Cha_15_39 18177 0 genomewide 56880 149484 0.38050895079072 4.25952220721619 Keep Keep Keep
CH_Cha_16_38 71459 0 genomewide 67372 168634 0.399516111816123 4.85405693437523 Keep Keep Keep
CY_Nic_14_11 27782 0 genomewide 61289 165607 0.370087013230117 4.4437635069775 Keep Keep Keep
DE_Bro_14_14 12909 0 genomewide 57487 160304 0.358612386465715 4.11089260080222 Keep Keep Keep
DE_Bro_14_15 18869 0 genomewide 59439 162460 0.365868521482211 4.27574888447919 Keep Keep Keep
DE_Bro_15_53 22656 0 genomewide 65781 160616 0.409554465308562 4.35518323600968 Keep Keep Keep
DE_Bro_15_54 24538 0 genomewide 67969 163630 0.415382264865856 4.38983916212527 Keep Keep Keep
DE_Bro_16_10 28772 0 genomewide 63119 171341 0.368382348649769 4.45897005162875 Keep Keep Keep
DE_Bro_16_11 31339 0 genomewide 64811 173954 0.372575508467756 4.4960851343977 Keep Keep Keep
DE_Mun_14_31 14302 0 genomewide 57095 161349 0.353860265635362 4.15539677370485 Keep Keep Keep
DE_Mun_14_32 79309 0 genomewide 79169 164588 0.481013196587844 4.89932247393238 Keep Keep Keep
DE_Mun_15_45 18741 0 genomewide 63557 163804 0.388006397890161 4.27279276066568 Keep Keep Keep
DE_Mun_15_46 21634 0 genomewide 63505 158160 0.401523773394031 4.33513682537162 Keep Keep Keep
DE_Mun_16_12 29440 0 genomewide 65254 174971 0.372941801784296 4.46893780566546 Keep Keep Keep
DE_Mun_16_13 35149 0 genomewide 69129 181491 0.380894920409276 4.5459129737183 Keep Keep Keep
DK_Kar_14_39 55398 0 genomewide 70208 158507 0.442933119672948 4.74349408594427 Keep Keep Keep
DK_Kar_14_41 55812 0 genomewide 68886 153935 0.447500568421736 4.74672758555914 Keep Keep Keep
DK_Kar_16_2 20603 0 genomewide 50107 143370 0.349494315407686 4.31393046253346 Keep Keep Keep
DK_Kar_16_3 22918 0 genomewide 55026 151740 0.362633451957295 4.36017671509018 Keep Keep Keep
DK_Kar_16_4 24990 0 genomewide 58842 161527 0.364285846948188 4.39776625612645 Keep Keep Keep
ES_ba_12_fall 37071 0 genomewide 68495 186949 0.3663833451904 4.56903430139574 Keep Keep Keep
ES_ba_12_spring 15107 0 genomewide 50099 151423 0.330854625783401 4.17917822920979 Keep Keep Keep
ES_Ben_16_32 39841 0 genomewide 61003 165073 0.369551652905078 4.60033023058077 Keep Keep Keep
ES_Cor_15_33 26321 0 genomewide 60742 152857 0.397377941474712 4.42030238517869 Keep Keep Keep
ES_Gim_14_34 64407 0 genomewide 72340 170338 0.424685037983304 4.8089330707164 Keep Keep Keep
ES_Gim_14_35 31705 0 genomewide 59911 162517 0.368644511035769 4.50112775752298 Keep Keep Keep
ES_Gim_15_30 15322 0 genomewide 54422 147480 0.369012747491185 4.18531545800366 Keep Keep Keep
ES_Gim_15_31 22417 0 genomewide 58929 155293 0.379469776487028 4.35057749181728 Keep Keep Keep
ES_Gim_16_33 40233 0 genomewide 47689 148068 0.322074992570981 4.6045824172312 Keep Keep Keep
ES_Gim_16_34 24224 0 genomewide 59979 170676 0.351420234830908 4.38424585781998 Keep Keep Keep
ES_Gua_15_32 29298 0 genomewide 63010 157549 0.399939066576113 4.46683797466777 Keep Keep Keep
ES_Pur_16_35 38718 0 genomewide 62516 174841 0.357559153745403 4.58791291549077 Keep Keep Keep
ES_Tom_15_28 22411 0 genomewide 56119 148651 0.37752184647261 4.35046123559764 Keep Keep Keep
ES_Tom_15_29 34180 0 genomewide 67640 166256 0.406842459820999 4.53377205838472 Keep Keep Keep
ES_Tom_16_36 49773 0 genomewide 67927 178037 0.38153305211838 4.6969938180432 Keep Keep Keep
ES_Tom_16_37 35734 0 genomewide 61788 170015 0.363426756462665 4.5530816330705 Keep Keep Keep
FI_Aka_14_36 73742 0 genomewide 76871 151669 0.506833960796208 4.867714912185 Keep Keep Keep
FI_Aka_14_37 45561 0 genomewide 67029 159636 0.419886491768774 4.65859324766597 Keep Keep Keep
FI_Aka_15_34 16588 0 genomewide 63024 158008 0.398865880208597 4.21979402669198 Keep Keep Keep
FI_Aka_15_35 14095 0 genomewide 61126 154221 0.39635328522056 4.14906508020762 Keep Keep Keep
FI_Aka_16_5 24759 0 genomewide 63740 171333 0.372024070085739 4.39373309982901 Keep Keep Keep
FI_Aka_16_6 32478 0 genomewide 68143 178694 0.381339048876851 4.51158927747471 Keep Keep Keep
FI_Ves_14_38 58784 0 genomewide 74948 166944 0.448940962238835 4.76925913462571 Keep Keep Keep
FI_Ves_16_7 38475 0 genomewide 68975 177852 0.387822459123316 4.58517862850352 Keep Keep Keep
FL_ho_10_fall 2001626 0 genomewide 466350 354826 1.31430616696634 6.30138293362792 Exclude Exclude Exclude
FL_ho_10_spring 34312 0 genomewide 66930 167323 0.400004781171746 4.53544603323102 Keep Keep Keep
FR_Got_14_08 1342927 0 genomewide 502585 237054 2.12012874703654 6.12805240555118 Exclude Exclude Exclude
FR_Got_15_47 15462 0 genomewide 55929 141461 0.395366920918133 4.18926566893455 Keep Keep Keep
FR_Got_15_48 25668 0 genomewide 53972 156229 0.345467230795819 4.40939203061915 Keep Keep Keep
FR_Got_15_49 18510 0 genomewide 51747 139474 0.371015386380257 4.2674064187529 Keep Keep Keep
FR_Got_16_8 29417 0 genomewide 60606 163455 0.370780948885014 4.46859838049625 Keep Keep Keep
FR_Vil_14_05 816696 0 genomewide 342730 206459 1.66003903922813 5.91206042851347 Exclude Exclude Exclude
FR_Vil_14_07 809463 0 genomewide 319594 207413 1.54085809471923 5.90819700223939 Exclude Exclude Exclude
FR_Vil_15_40 25683 0 genomewide 64373 160359 0.401430540225369 4.4096457517702 Keep Keep Keep
FR_Vil_15_41 21973 0 genomewide 62196 156090 0.398462425523736 4.3418893557143 Keep Keep Keep
FR_Vil_16_9 34039 0 genomewide 67075 178965 0.374793954125108 4.53197679286786 Keep Keep Keep
GA_at_14_fall 48636 0 genomewide 82318 216954 0.379426053449118 4.68695784978932 Keep Keep Keep
GA_at_14_spring 25408 0 genomewide 71304 193309 0.368860218613722 4.404970480747 Keep Keep Keep
GA_ha_08_spring 29124 0 genomewide 71851 178839 0.401763597425617 4.46425102237956 Keep Keep Keep
GS_Des_15_1 60065 0 genomewide 62567 162969 0.383919641158748 4.77862148140986 Keep Keep Keep
GS_Sai_15_2 52668 0 genomewide 59681 156947 0.380262126705193 4.7215468268926 Keep Keep Keep
HU_Sze_16_14 17935 0 genomewide 55366 154383 0.358627569097634 4.25370138101199 Keep Keep Keep
IL_ur_15_spring 19777 0 genomewide 70429 194364 0.362356197649771 4.29616041353726 Keep Keep Keep
IT_Mez_15_43 32128 0 genomewide 55972 153507 0.36462180877745 4.50688369112891 Keep Keep Keep
IT_Mez_15_44 35522 0 genomewide 52771 155267 0.339872606542279 4.55049740993627 Keep Keep Keep
