sampleId,locality,country,city,collectionDate,lat,long,season,type,continent,set,nFlies,SRA_accession,SRA_experiment,Model,collector,sampleType,year,yday,stationId,dist_km,In(2L)t,In(2R)Ns,In(3L)P,In(3R)C,In(3R)K,In(3R)Mo,In(3R)Payne,status,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12,prec1,prec2,prec3,prec4,prec5,prec6,prec7,prec8,prec9,prec10,prec11,prec12,propSimNorm,sex
AT_Mau_14_01,AT_Mau,Austria,Mauternbach,2014/07/20,48.375,15.56,spring,pooled,Europe,DrosEU,40,SRR5647751,SRX2885357,NextSeq 500,Andrea_J._Betancourt,wild,2014,201,AUM00011389,21.764917456208,0.19,0.05,0.02,0.01,0,0.03,0.06,Exclude,88,97,32,7157,247,-48,295,178,8,178,-6,688,93,32,36,264,111,264,111,-48,-38,-7,32,78,111,125,122,86,41,3,-29,17,39,90,145,196,226,247,242,199,139,69,28,32,36,43,51,75,92,93,79,54,41,49,43,0.00460092100582419,male
AT_Mau_14_02,AT_Mau,Austria,Mauternbach,2014/10/19,48.375,15.56,fall,pooled,Europe,DrosEU,40,SRR5647750,SRX2885358,NextSeq 500,Andrea_J.Betancourt,wild,2014,292,AUM00011389,21.764917456208,0.18,0.06,0.04,0.01,0,0.02,0.04,Exclude,88,97,32,7157,247,-48,295,178,8,178,-6,688,93,32,36,264,111,264,111,-48,-38,-7,32,78,111,125,122,86,41,3,-29,17,39,90,145,196,226,247,242,199,139,69,28,32,36,43,51,75,92,93,79,54,41,49,43,0.00562178583187509,male
AT_Mau_15_50,AT_Mau,Austria,Mauternbach,2015/07/20,48.375,15.56,spring,pooled,Europe,DrosEU,40,SRR8439127,SRX5246581,HiSeq X Ten,Andrea_Betancourt,wild,2015,201,AUM00011389,21.764917456208,0.2,0.09,0.02,0.05,0,0.03,0.01,Keep,88,97,32,7157,247,-48,295,178,8,178,-6,688,93,32,36,264,111,264,111,-48,-38,-7,32,78,111,125,122,86,41,3,-29,17,39,90,145,196,226,247,242,199,139,69,28,32,36,43,51,75,92,93,79,54,41,49,43,0.00414769957952095,male
AT_Mau_15_51,AT_Mau,Austria,Mauternbach,2015/10/19,48.375,15.56,fall,pooled,Europe,DrosEU,40,SRR8439143,SRX5246565,HiSeq X Ten,Andrea_Betancourt,wild,2015,292,AUM00011389,21.764917456208,0.28,0.09,0.01,0.02,0,0.04,0.03,Keep,88,97,32,7157,247,-48,295,178,8,178,-6,688,93,32,36,264,111,264,111,-48,-38,-7,32,78,111,125,122,86,41,3,-29,17,39,90,145,196,226,247,242,199,139,69,28,32,36,43,51,75,92,93,79,54,41,49,43,0.00332260278046581,male
AT_See_14_44,AT_See,Austria,Seeboden,2014/08/17,46.8136889,13.50794792,spring,pooled,Europe,DrosEU,40,SRR5647746,SRX2885362,NextSeq 500,Martin_Kapun,wild,2014,229,AUM00011212,26.6876799444818,0.32,0.02,0.04,0.02,0.03,0.05,0.08,Exclude,78,103,33,7098,236,-68,304,166,-1,166,-17,1288,142,67,24,418,211,418,225,-68,-56,-20,19,62,97,112,110,81,37,-5,-48,13,40,86,130,179,216,236,230,196,138,68,22,67,72,72,108,110,142,137,139,116,111,128,86,0.0060271890705486,male
AT_See_16_1,AT_See,Austria,Seeboden,2016/08/01,46.8136889,13.50794792,spring,pooled,Europe,DrosEU,40,SRR8494439,SRX5299028,HiSeq X Ten,Martin_Kapun,wild,2016,214,AUM00011212,26.6876799444818,0.28,0.07,0.03,0.05,0.02,0.04,0.16,Keep,78,103,33,7098,236,-68,304,166,-1,166,-17,1288,142,67,24,418,211,418,225,-68,-56,-20,19,62,97,112,110,81,37,-5,-48,13,40,86,130,179,216,236,230,196,138,68,22,67,72,72,108,110,142,137,139,116,111,128,86,0.00436717007125169,male
AT_gr_12_fall,AT_gr,Austria,Gross-Enzersdorf,2012/10/20,48.2,16.37,fall,pooled,Europe,DrosRTEC,44,SRR3590552,SRX1801497,Illumina HiSeq 2000,Fabian/Flatt,wild,2012,294,AU000005901,3.96932507912905,0.26,0.09,0.02,0.02,0,0.03,0.03,Keep,98,96,32,7226,260,-38,298,190,17,190,4,631,76,35,26,217,116,217,118,-38,-26,2,43,88,123,137,133,95,49,13,-19,24,47,98,155,206,238,260,254,208,149,79,37,35,39,42,49,65,76,74,67,49,42,49,44,0.00505758843558371,male
AT_gr_12_spring,AT_gr,Austria,Gross-Enzersdorf,2012/08/03,48.2,16.37,spring,pooled,Europe,DrosRTEC,62,SRR3590553,SRX1801498,Illumina HiSeq 2000,Fabian/Flatt,wild,2012,216,AU000005901,3.96932507912905,0.12,0.05,0.08,0.03,0,0.01,0.06,Keep,98,96,32,7226,260,-38,298,190,17,190,4,631,76,35,26,217,116,217,118,-38,-26,2,43,88,123,137,133,95,49,13,-19,24,47,98,155,206,238,260,254,208,149,79,37,35,39,42,49,65,76,74,67,49,42,49,44,0.00519726531955227,male
B,B,China,Beijing,1992/9,39.91,116.41,NA,inbred_line,Asia,dgn,15,NA,NA,NA,X._Huang,NA,1992,NA,CHM00054511,11.153713307683,0,0.01,0.08,0,0,0,0,Keep,121,111,27,10692,309,-93,402,251,-24,251,-24,610,195,3,132,462,12,462,12,-93,-67,-5,72,133,182,215,203,141,72,-4,-67,14,40,112,200,266,304,309,296,258,189,99,31,4,5,9,21,32,75,195,192,51,16,7,3,NA,female
BY_Bre_15_13,BY_Bre,Belarus,Brest,2015/09/11,52.142193,23.662434,fall,pooled,Europe,DrosEU,40,SRR8439157,SRX5246551,HiSeq X Ten,Iryna_Kozeretska,wild,2015,254,BOM00033008,3.17005056327892,0.15,0.04,0.04,0.01,0,0.01,0.03,Keep,75,84,26,8237,240,-75,315,176,-24,176,-35,548,74,26,35,209,82,209,94,-75,-69,-25,35,82,115,129,123,87,45,2,-44,-16,-5,48,132,192,224,240,232,184,123,51,4,29,27,26,37,53,68,74,67,52,38,39,38,0.00374765454746054,male
