sampleId,old_sampleId
ES_Zar_Pin_1_2018-10-10,ES_Ler_Pin_1_2018-10-10
ES_Zar_Ose_1_2018-09-20,ES_Zam_Ose_1_2018-09-20
FI_Nor_Ves_1_2014-07-26,FI_Cen_Ves_1_2014-07-26
FI_Nor_Ves_1_2016-07-29,FI_Cen_Ves_1_2016-07-29
FR_Ain_Rey_1_2018-06-16,FR_Hau_Civ_1_2018-06-16
FR_Ain_Rey_1_2018-09-15,FR_Hau_Civ_1_2018-09-15
ME_Her_Her_1_2019-09-19,HR_Dub_Her_1_2019-09-19
ME_Her_Kam_1_2017-09-20,HR_Dub_Kam_1_2017-09-20
IT_Tre_Mez_1_2015-09-29,IT_Tre_San_1_2015-09-29
IT_Tre_Mez_1_2015-10-10,IT_Tre_San_1_2015-10-10
IT_Tre_Mez_1_2016-08-24,IT_Tre_Tre_1_2016-08-24
RS_Sre_Sla_1_2021-09-14,RS_Kol_Sla_1_2021-09-14
RS_Sre_Sla_1_2021-MM-DD,RS_Kol_Sla_1_2021-MM-DD
RS_Sre_Sta_1_2019-09-19,RS_Pod_Sta_1_2019-09-19
UA_Pol_Pyr_1_2016-08-23,UA_Che_Pyr_1_2016-08-23
