"sampleId","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","tmin1","tmin2","tmin3","tmin4","tmin5","tmin6","tmin7","tmin8","tmin9","tmin10","tmin11","tmin12","tmax1","tmax2","tmax3","tmax4","tmax5","tmax6","tmax7","tmax8","tmax9","tmax10","tmax11","tmax12","prec1","prec2","prec3","prec4","prec5","prec6","prec7","prec8","prec9","prec10","prec11","prec12"
"AT_Mau_14_01",88,97,32,7157,247,-48,295,178,8,178,-6,688,93,32,36,264,111,264,111,-48,-38,-7,32,78,111,125,122,86,41,3,-29,17,39,90,145,196,226,247,242,199,139,69,28,32,36,43,51,75,92,93,79,54,41,49,43
"AT_Mau_14_02",88,97,32,7157,247,-48,295,178,8,178,-6,688,93,32,36,264,111,264,111,-48,-38,-7,32,78,111,125,122,86,41,3,-29,17,39,90,145,196,226,247,242,199,139,69,28,32,36,43,51,75,92,93,79,54,41,49,43
"AT_Mau_15_50",88,97,32,7157,247,-48,295,178,8,178,-6,688,93,32,36,264,111,264,111,-48,-38,-7,32,78,111,125,122,86,41,3,-29,17,39,90,145,196,226,247,242,199,139,69,28,32,36,43,51,75,92,93,79,54,41,49,43
"AT_Mau_15_51",88,97,32,7157,247,-48,295,178,8,178,-6,688,93,32,36,264,111,264,111,-48,-38,-7,32,78,111,125,122,86,41,3,-29,17,39,90,145,196,226,247,242,199,139,69,28,32,36,43,51,75,92,93,79,54,41,49,43
"AT_See_14_44",78,103,33,7098,236,-68,304,166,-1,166,-17,1288,142,67,24,418,211,418,225,-68,-56,-20,19,62,97,112,110,81,37,-5,-48,13,40,86,130,179,216,236,230,196,138,68,22,67,72,72,108,110,142,137,139,116,111,128,86
"AT_See_16_1",78,103,33,7098,236,-68,304,166,-1,166,-17,1288,142,67,24,418,211,418,225,-68,-56,-20,19,62,97,112,110,81,37,-5,-48,13,40,86,130,179,216,236,230,196,138,68,22,67,72,72,108,110,142,137,139,116,111,128,86
"BY_Bre_15_13",75,84,26,8237,240,-75,315,176,-24,176,-35,548,74,26,35,209,82,209,94,-75,-69,-25,35,82,115,129,123,87,45,2,-44,-16,-5,48,132,192,224,240,232,184,123,51,4,29,27,26,37,53,68,74,67,52,38,39,38
"CH_Cha_14_42",74,87,32,6320,219,-48,267,3,67,154,-9,1112,107,75,10,303,249,295,294,-48,-38,-13,19,56,89,108,103,82,41,0,-33,15,32,74,113,158,195,219,211,179,124,65,24,100,92,85,75,89,102,86,107,92,81,101,102
"CH_Cha_14_43",74,87,32,6320,219,-48,267,3,67,154,-9,1112,107,75,10,303,249,295,294,-48,-38,-13,19,56,89,108,103,82,41,0,-33,15,32,74,113,158,195,219,211,179,124,65,24,100,92,85,75,89,102,86,107,92,81,101,102
"CH_Cha_15_39",74,87,32,6320,219,-48,267,3,67,154,-9,1112,107,75,10,303,249,295,294,-48,-38,-13,19,56,89,108,103,82,41,0,-33,15,32,74,113,158,195,219,211,179,124,65,24,100,92,85,75,89,102,86,107,92,81,101,102
"CH_Cha_16_38",74,87,32,6320,219,-48,267,3,67,154,-9,1112,107,75,10,303,249,295,294,-48,-38,-13,19,56,89,108,103,82,41,0,-33,15,32,74,113,158,195,219,211,179,124,65,24,100,92,85,75,89,102,86,107,92,81,101,102
"CY_Nic_14_11",181,126,41,6425,348,47,301,101,263,263,101,391,88,1,84,217,10,10,217,48,47,63,93,133,173,196,198,171,138,98,66,140,149,177,224,276,320,346,348,313,266,212,161,78,51,46,21,21,7,1,2,8,31,37,88
"DE_Bro_14_14",103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50
"DE_Bro_14_15",103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50
"DE_Bro_15_53",103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50
"DE_Bro_15_54",103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50
"DE_Bro_16_10",103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50
"DE_Bro_16_11",103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50
"DE_Mun_14_31",80,89,31,6827,229,-50,279,166,3,166,-10,911,122,48,35,347,153,347,157,-50,-43,-8,28,68,103,121,115,86,41,1,-34,13,32,81,130,175,208,229,222,189,131,65,24,52,48,53,68,97,122,116,109,74,55,60,57
"DE_Mun_14_32",80,89,31,6827,229,-50,279,166,3,166,-10,911,122,48,35,347,153,347,157,-50,-43,-8,28,68,103,121,115,86,41,1,-34,13,32,81,130,175,208,229,222,189,131,65,24,52,48,53,68,97,122,116,109,74,55,60,57
